"""protein""","""reactionCount""","""pathwayCount"""
"""Q15768""",8,4
"""P30273""",10,7
"""P12107""",13,4
"""Q8N6G6""",2,4
"""Q9UKY0""",1,3
"""P42262""",1,6
"""O43323""",13,7
"""O75487""",21,16
"""O94772""",1,3
"""P55957""",7,8
"""Q99715""",13,6
"""Q03692""",12,5
"""Q96E29""",4,2
"""O60260""",3,4
"""P15336""",6,40
"""P08582""",2,5
"""Q9BTM9""",1,3
"""P05161""",5,4
"""P16410""",2,4
"""O76024""",1,4
"""Q99814""",9,9
"""P42229""",18,21
"""Q8IZP0""",4,8
"""Q7RTW8""",1,3
"""Q8TE60""",2,4
"""Q9UPW6""",1,5
"""P28749""",2,5
"""P52799""",8,4
"""P08709""",9,9
"""Q9NYJ1""",1,2
"""O15392""",1,3
"""O60938""",7,5
"""P22557""",1,3
"""O94826""",1,4
"""Q04637""",1,3
"""Q9HCM2""",8,6
"""Q8NB16""",1,3
"""Q969Q5""",1,3
"""P38936""",7,18
"""Q8N2G4""",1,3
"""O15350""",1,5
"""P78324""",6,2
"""Q14164""",6,9
"""Q7RTY9""",1,3
"""Q9P218""",11,4
"""Q9BX63""",22,22
"""P55072""",1,3
"""Q02388""",26,15
"""P37088""",1,3
"""Q9UQE7""",14,10
"""Q8IYD8""",4,2
"""O43524""",4,10
"""O75553""",1,3
"""O43493""",1,4
"""Q8TBC4""",6,3
"""O14594""",14,10
"""Q9BUA6""",5,2
"""Q9UKP4""",2,4
"""P23588""",1,3
"""Q13882""",33,23
"""Q96E17""",1,3
"""Q13591""",2,4
"""Q05513""",5,8
"""Q8N2H9""",7,21
"""P11912""",7,5
"""P98088""",14,9
"""O00762""",2,4
"""P18850""",2,3
"""Q04721""",15,7
"""Q68DV7""",1,4
"""P09917""",7,8
"""P08174""",5,8
"""O75916""",1,7
"""P29474""",18,14
"""Q99879""",10,12
"""Q8N307""",14,9
"""Q16719""",1,4
"""P43353""",3,7
"""P51654""",22,20
"""P35754""",3,3
"""Q14653""",17,19
"""Q96DR8""",14,9
"""P63211""",4,8
"""Q9NQ76""",1,4
"""O43914""",10,4
"""O75460""",2,3
"""P21802""",47,37
"""P13807""",3,4
"""Q02763""",11,7
"""O00267""",49,29
"""P15927""",10,10
"""Q16512""",14,5
"""P19105""",6,6
"""Q15465""",15,11
"""P51159""",2,7
"""Q96JH7""",1,4
"""Q07092""",13,7
"""P84022""",38,31
"""Q9NX63""",1,2
"""Q9BQA1""",7,3
"""Q9NX57""",1,3
"""Q86YS6""",1,3
"""Q9GZY6""",6,4
"""Q14050""",17,9
"""P09923""",1,3
"""P10070""",11,12
"""Q8WV24""",1,5
"""Q8TDY2""",2,2
"""P00387""",2,6
"""P53420""",13,6
"""P18085""",15,15
"""P39880""",7,6
"""P16871""",3,4
"""P17735""",2,4
"""Q9UHD2""",17,16
"""Q86XD5""",5,4
"""Q7KZF4""",5,4
"""Q717R9""",3,4
"""Q15759""",15,57
"""P19878""",3,9
"""P56277""",1,2
"""P29597""",29,20
"""Q9UJT9""",1,5
"""P58397""",2,4
"""P82987""",2,4
"""O00141""",3,7
"""Q96B97""",1,4
"""O00327""",16,2
"""P24821""",1,4
"""P57735""",1,3
"""Q9Y6Y9""",24,13
"""O60500""",6,2
"""Q9BQK8""",2,6
"""Q96IF1""",1,5
"""P12931""",72,61
"""P07911""",1,3
"""P14649""",5,2
"""Q96A00""",2,4
"""Q8TC59""",3,3
"""Q15084""",1,4
"""O00255""",1,4
"""P78333""",23,19
"""P61978""",1,5
"""Q08999""",4,5
"""P98160""",21,16
"""P33778""",10,12
"""P07203""",6,13
"""Q15771""",1,3
"""Q02817""",14,9
"""O14904""",5,5
"""O95185""",2,4
"""P36507""",29,22
"""P54646""",19,24
"""O14613""",1,3
"""Q9BUB5""",1,12
"""Q7Z494""",3,4
"""Q16620""",22,14
"""Q8TE57""",2,4
"""Q14515""",1,4
"""Q8IYW5""",1,5
"""P29966""",1,4
"""Q15078""",7,12
"""Q52LA3""",8,5
"""Q9Y6W8""",3,12
"""P57729""",2,7
"""P20248""",1,4
"""Q9NWZ3""",35,20
"""Q96EG1""",1,8
"""O95497""",1,3
"""Q15843""",22,7
"""P38398""",33,30
"""P40616""",5,4
"""P15036""",3,4
"""P42226""",6,8
"""Q02241""",1,4
"""O94856""",2,4
"""Q13480""",18,20
"""O96028""",26,12
"""P02765""",1,4
"""P51153""",2,7
"""Q04724""",2,4
"""P49137""",7,48
"""P49407""",1,4
"""O00744""",3,3
"""P38117""",1,3
"""Q9UMD9""",12,6
"""Q9Y6F6""",1,4
"""Q13651""",3,4
"""Q8N4F0""",1,4
"""Q13177""",22,28
"""P04792""",1,3
"""Q13546""",17,23
"""P04001""",3,6
"""Q92539""",2,6
"""Q6UWY0""",1,8
"""P24941""",25,38
