"""protein""","""reactionCount"""
"""Q9BVK2""",1
"""Q92466""",21
"""Q9BVJ6""",1
"""P01019""",24
"""O14986""",7
"""Q92538""",14
"""Q96HC4""",1
"""Q96JB6""",3
"""P19404""",4
"""P25398""",27
"""Q5VIY5""",1
"""Q6UXZ3""",1
"""Q9UNA1""",1
"""Q9GZX3""",1
"""P08779""",3
"""Q9H310""",2
"""Q7Z2F6""",1
"""P07093""",8
"""Q8WXB1""",1
"""Q9H1Y0""",9
"""Q5JS37""",1
"""Q9H492""",10
"""Q9UEU0""",1
"""Q14031""",13
"""Q13467""",13
"""Q12789""",12
"""Q96HD9""",1
"""P56282""",24
"""Q15743""",4
"""Q32MQ0""",1
"""P61962""",6
"""P19883""",1
"""Q96GX9""",1
"""Q96GC5""",10
"""P19113""",1
"""Q15077""",4
"""Q96A29""",1
"""Q05682""",4
"""Q9UKW4""",38
"""Q7L592""",8
"""Q9UKL4""",2
"""Q9Y5P1""",1
"""Q06432""",1
"""P09238""",11
"""Q7LBE3""",1
"""Q9H205""",1
"""Q07973""",2
"""Q99986""",2
"""Q9ULT6""",4
"""Q9Y4X5""",9
"""Q9H195""",14
"""Q96KK4""",1
"""P20061""",4
"""Q9P0L0""",6
"""P55317""",10
"""P49427""",5
"""Q8WXI8""",4
"""Q5BIV9""",1
"""Q9NVR0""",6
"""Q9UJV9""",4
"""Q9Y2P4""",1
"""Q9Y314""",1
"""O14497""",4
"""Q8NCL4""",1
"""Q5TAH2""",1
"""Q16186""",3
"""O15247""",1
"""P01733""",17
"""P49792""",48
"""P02452""",15
"""P0C7T2""",1
"""Q9BWJ5""",11
"""Q86YN1""",1
"""Q8NH53""",1
"""P10747""",16
"""Q96BP2""",12
"""Q8NGI3""",1
"""P04062""",2
"""P50750""",43
"""Q96AY2""",5
"""Q8IYD1""",7
"""P98174""",3
"""P28331""",4
"""P01597""",43
"""O95970""",2
"""Q96QD9""",5
"""Q9UHA7""",2
"""Q9UGK3""",4
"""Q8TDB8""",1
"""P18462""",16
"""Q6ZUV0""",1
"""Q99575""",1
"""Q9BUF5""",12
"""Q99569""",3
"""Q9HAV5""",1
"""Q9HB75""",5
"""P43235""",9
"""Q16696""",16
"""P18507""",2
"""Q9Y6E0""",2
"""P09972""",5
"""Q9UDV6""",1
"""O95865""",1
"""Q9Y5V3""",4
"""Q9Y673""",1
"""Q96T54""",2
"""Q86VD9""",1
"""P56750""",1
"""Q8WWH4""",3
"""Q15545""",22
"""P62826""",16
"""Q8IVP9""",1
"""Q14019""",2
"""Q6ZMV8""",1
"""Q6PL18""",1
"""O15466""",1
"""Q8NEM7""",1
"""Q8IUN9""",1
"""O15160""",30
"""P30044""",4
"""Q9NPH2""",1
"""Q9Y5Y9""",2
"""P00395""",1
"""Q9NS28""",2
"""P02671""",48
"""Q9NRF8""",1
"""Q8N3Y3""",2
"""O60675""",2
"""P21695""",1
"""Q9NQZ8""",1
"""P10966""",3
"""Q9BY64""",1
"""Q16774""",3
"""Q8TF61""",9
"""Q92637""",4
"""Q9NWR8""",2
"""P04275""",49
"""Q86T03""",1
"""Q92523""",1
"""P22304""",2
"""P07910""",9
"""O15169""",23
"""Q96JA1""",5
"""P05019""",22
"""P01706""",43
"""P16930""",1
"""Q86Y13""",3
"""Q86XP3""",11
"""Q86XE3""",2
"""Q96HF1""",2
"""O43759""",1
"""Q9C086""",2
"""Q96I15""",1
"""Q99788""",1
"""Q12774""",3
"""Q7Z3B3""",1
"""Q0JRZ9""",8
"""Q6ZWL3""",1
"""P17014""",1
"""Q5VZK9""",1
"""Q9HCM4""",2
"""Q8TBJ4""",1
"""Q9HBW0""",7
"""Q16613""",1
"""P07919""",1
"""P41229""",2
"""Q8IY17""",1
"""Q969G3""",4
"""Q9HBA0""",1
"""Q9UNM6""",6
"""Q8IZD9""",1
"""Q05193""",15
"""P19388""",152
"""Q02108""",2
"""P09529""",8
"""O00305""",3
"""Q8NFU0""",2
"""P29965""",2
"""O75528""",2
"""Q15572""",14
"""Q96NL6""",7
"""Q14894""",1
"""Q13347""",8
"""Q9H2K2""",7
"""Q14103""",10
"""Q16322""",1
"""Q15758""",2
"""Q8N1E6""",9
"""Q96MU6""",1
"""Q96N66""",2
"""Q13233""",6
"""Q07343""",3
"""Q6ZVK8""",3
"""O95163""",1
"""Q96FV9""",5
"""Q9BSL1""",3
"""Q9HBA9""",1
"""P09919""",2
"""Q7Z7M8""",1
"""Q9Y4C1""",2
"""Q7Z7B8""",1
"""Q8NET5""",1
"""Q53GQ0""",2
"""P27449""",7
"""Q9Y6L7""",4
"""Q9H0M5""",1
"""Q9NQG5""",2
"""P00488""",3
"""P49448""",4
"""O43307""",5
"""P22352""",1
"""Q9H211""",7
"""Q16873""",8
"""Q96F24""",1
"""P10072""",1
"""Q9NY37""",2
"""Q92736""",1
"""Q9NXR7""",10
"""O76082""",2
"""P30512""",16
"""Q6ZQW0""",1
"""P14867""",2
"""Q9NQ36""",1
"""P30038""",2
"""Q75N90""",1
"""P51812""",8
"""Q9UID3""",2
"""O60508""",11
"""P26232""",6
"""Q9UHX3""",1
"""Q9Y2Q0""",4
"""Q06141""",3
"""Q9BVS5""",1
"""P14138""",5
"""Q12873""",7
"""Q13077""",3
"""Q02156""",6
"""Q8TEQ8""",1
"""P11487""",73
"""P08572""",17
"""P39060""",19
"""P63000""",97
"""Q6JQN1""",1
"""O00212""",7
"""Q9Y2G5""",1
"""Q9Y2Q9""",12
"""Q7Z2D5""",1
"""P47901""",4
"""Q96PM9""",3
"""O95190""",2
"""Q9H4L5""",1
"""Q08426""",4
"""Q14993""",12
"""Q8WZ42""",5
"""O95376""",3
"""Q86WV6""",12
"""Q6ZNC4""",1
"""Q15722""",4
"""P22061""",1
"""Q8IVF5""",3
"""P37231""",5
"""P68400""",10
"""Q15056""",6
"""Q8IWW6""",1
"""P43115""",4
"""Q8NHA8""",1
"""O14581""",1
"""Q16576""",21
"""Q9NS40""",1
"""Q9Y694""",2
"""Q9Y5X4""",1
"""Q8NGJ8""",1
"""Q8NE62""",1
"""P28907""",1
"""Q9NRR4""",1
"""P20160""",1
"""P01130""",27
"""Q9Y574""",8
"""P49406""",10
"""Q92835""",5
"""P0DMN0""",1
"""Q8NDV7""",47
"""Q9BSI4""",2
"""Q5NV75""",35
"""Q8IU89""",1
"""P22310""",4
"""Q9NZ09""",5
"""Q9BS34""",1
"""Q6E213""",4
"""Q9UBY5""",7
"""O75144""",2
"""A2RRD8""",1
"""P02545""",9
"""P30626""",3
"""Q6IB77""",2
"""Q86YW0""",1
"""Q01484""",9
"""P16435""",1
"""P18846""",1
"""P41235""",1
"""P36871""",4
"""A0FGR8""",1
"""Q9UNW1""",3
"""P45844""",1
"""Q99653""",1
"""P17181""",12
"""Q8IYX0""",1
"""Q96LA8""",14
"""O00425""",1
"""Q2YD98""",10
"""O00311""",8
"""Q12805""",3
"""Q7Z3Y8""",3
"""P54750""",4
"""Q9UHJ6""",1
"""P54198""",2
"""P16144""",9
"""O75695""",4
"""Q15935""",1
"""Q8WU68""",12
"""Q14409""",1
"""P0DJD8""",2
"""Q8IX03""",1
"""Q969S8""",3
"""P62910""",20
"""Q15269""",1
"""Q9HAU0""",1
"""Q8NGC1""",1
"""P19961""",2
"""P26715""",1
"""Q9UN76""",1
"""Q7L0Q8""",5
"""Q8NFW1""",13
"""Q8NG81""",1
"""Q8IW93""",3
"""O15550""",2
"""Q8IYB9""",1
"""Q8NG75""",1
"""P63098""",6
"""Q7Z7A3""",1
"""Q9Y6X3""",1
"""Q9H9T3""",1
"""Q14919""",1
"""Q3SY84""",3
"""O95298""",8
"""O60894""",5
"""Q9NSE2""",8
"""Q14118""",11
"""P49619""",1
"""Q5U5Z8""",1
"""O43474""",1
"""Q8IVN8""",2
"""Q92913""",1
"""Q6PHW0""",2
"""P30793""",2
"""Q66K46""",4
"""O15439""",2
"""Q9NRZ7""",2
"""P00374""",3
"""O94933""",1
"""Q9UJK0""",1
"""Q9H1E1""",2
"""Q6UWN8""",4
"""P35372""",10
"""Q9BY43""",3
"""Q02447""",2
"""Q8WVK2""",2
"""Q9UBU3""",10
"""A5D6W6""",1
"""P55011""",1
"""Q66GS9""",22
"""P07202""",5
"""P42167""",2
"""Q12904""",10
"""Q9UJA5""",1
"""Q96PY5""",3
"""Q13572""",11
"""Q9H7X7""",5
"""P07384""",7
"""P32298""",1
"""Q9UIJ5""",1
"""Q96RB7""",1
"""P52738""",1
"""Q9Y496""",11
"""Q9UBK8""",4
"""P56381""",4
"""Q99767""",1
"""Q15842""",2
"""P42677""",40
"""P18627""",1
"""P31948""",6
"""Q96CN9""",2
"""O00233""",4
"""Q9HD67""",2
"""Q7L014""",6
"""O14893""",5
"""P08758""",1
"""P19367""",1
"""O95256""",1
"""P48167""",1
"""Q7L5Y6""",3
"""Q14186""",61
"""O96006""",1
"""Q8NH89""",1
"""Q92820""",3
"""Q8TAM2""",4
"""Q01973""",1
"""Q8NGL9""",1
"""O14788""",4
"""P30101""",7
"""Q9NRG4""",3
"""O60706""",3
"""P32320""",4
"""Q8NFH8""",14
"""Q9NQP4""",2
"""Q9P1W8""",2
"""Q8N695""",2
"""P20226""",60
"""Q9Y5Y0""",1
"""P02743""",4
"""Q9BTA9""",1
"""Q96T60""",5
"""P23497""",2
"""P11908""",1
"""Q9BYF1""",2
"""P41220""",1
"""Q96EY7""",12
"""P43631""",2
"""P08962""",2
"""Q96E93""",1
"""Q8IUZ5""",1
"""P61296""",1
"""P27986""",106
"""O00602""",6
"""P06737""",5
"""Q9UKV8""",46
"""Q13671""",1
"""O75030""",1
"""Q9H0F7""",1
"""Q9H013""",1
"""P09681""",8
"""O94906""",9
"""Q8WUM4""",1
"""Q9BPV8""",4
"""Q13530""",1
"""Q9HCC0""",3
"""Q8TE56""",2
"""O95460""",1
"""Q86XU0""",1
"""Q96LC9""",3
"""Q3KNW5""",1
"""P01031""",17
"""Q9UQ88""",2
"""P61009""",4
"""Q96BD6""",8
"""Q16795""",9
"""P46776""",20
"""Q7Z419""",3
"""Q6IEU7""",1
"""P12270""",35
"""O15055""",3
"""Q9NP58""",1
"""Q5XG87""",5
"""P48740""",9
"""O96033""",2
"""Q16514""",23
"""Q16706""",2
"""Q15836""",19
"""Q15149""",8
"""Q5T1R4""",2
"""P16150""",2
"""P23560""",31
"""Q9NZN3""",1
"""Q9NZC3""",1
"""Q8NGS7""",1
"""Q8NGH7""",1
"""Q9NUP9""",3
"""Q9NYW3""",4
"""P14555""",13
"""O43505""",3
"""Q9P2W7""",1
"""Q8WZ84""",1
"""Q92934""",9
"""P22736""",3
"""O75414""",1
"""Q9NZQ9""",4
"""Q01094""",28
"""Q6UB35""",2
"""Q9UKN5""",3
"""P05093""",4
"""P32970""",1
"""O60669""",1
"""Q9Y512""",1
"""P08254""",31
"""O94813""",25
"""P21554""",4
"""Q9Y6Y8""",6
"""Q9H0E2""",9
"""P35558""",2
"""Q96RA2""",1
"""Q9H081""",13
"""Q9Y6N8""",2
"""Q9H2A7""",4
"""Q96K75""",1
"""P18825""",9
"""Q14789""",3
"""Q7KZN9""",1
"""P26439""",5
"""O00410""",1
"""Q9UQ52""",1
"""Q8NCN5""",1
"""Q9UPS6""",12
"""A2NXD2""",43
"""Q9NV31""",1
"""Q14C86""",3
"""Q07889""",118
"""Q12888""",16
"""Q8NBJ4""",1
"""Q9Y3D7""",6
"""Q8N201""",1
"""Q9Y376""",4
"""Q5T447""",3
"""Q8NGL0""",1
"""O14804""",4
"""Q8NH74""",1
"""Q8NGA0""",1
"""P10768""",1
"""Q9C0B1""",1
"""Q8NGK4""",1
"""P04083""",9
"""O14965""",14
"""Q17RB8""",3
"""Q8N8N7""",1
"""A7MBM2""",2
"""P31153""",1
"""Q9P2T1""",1
"""Q92841""",1
"""Q9BZS1""",7
"""Q8IWX5""",2
"""O95436""",1
"""O96000""",7
"""Q8IWA0""",1
"""P24588""",9
"""O14782""",8
